indicator,lag_months,direction,pearson_corr,pearson_p_value,spearman_corr,spearman_p_value,sample_size,is_significant
tourist_arrivals,-3,Sentiment Lags,0.3246,0.0042,0.3527,0.0018,76,True
tourist_arrivals,-2,Sentiment Lags,0.3377,0.0027,0.3551,0.0015,77,True
tourist_arrivals,-1,Sentiment Lags,0.4036,0.0002,0.3952,0.0003,78,True
tourist_arrivals,0,Contemporaneous,0.4823,0.0,0.4854,0.0,79,True
tourist_arrivals,1,Sentiment Leads,0.4345,0.0001,0.4592,0.0,78,True
tourist_arrivals,2,Sentiment Leads,0.3651,0.0011,0.3909,0.0004,77,True
tourist_arrivals,3,Sentiment Leads,0.3494,0.002,0.3585,0.0015,76,True
usd_lkr_rate,-3,Sentiment Lags,0.1558,0.1789,0.0365,0.7543,76,False
usd_lkr_rate,-2,Sentiment Lags,0.1292,0.2626,0.026,0.8222,77,False
usd_lkr_rate,-1,Sentiment Lags,0.1039,0.3654,0.0272,0.8131,78,False
usd_lkr_rate,0,Contemporaneous,0.0543,0.6348,-0.0355,0.756,79,False
usd_lkr_rate,1,Sentiment Leads,0.0218,0.8497,-0.0871,0.4481,78,False
usd_lkr_rate,2,Sentiment Leads,0.0039,0.9733,-0.1133,0.3265,77,False
usd_lkr_rate,3,Sentiment Leads,-0.0035,0.9762,-0.1155,0.3205,76,False
inflation_rate,-3,Sentiment Lags,-0.4072,0.0003,-0.5423,0.0,76,True
inflation_rate,-2,Sentiment Lags,-0.4077,0.0002,-0.5161,0.0,77,True
inflation_rate,-1,Sentiment Lags,-0.4258,0.0001,-0.4984,0.0,78,True
inflation_rate,0,Contemporaneous,-0.4481,0.0,-0.4834,0.0,79,True
inflation_rate,1,Sentiment Leads,-0.4748,0.0,-0.4993,0.0,78,True
inflation_rate,2,Sentiment Leads,-0.4918,0.0,-0.4826,0.0,77,True
inflation_rate,3,Sentiment Leads,-0.4865,0.0,-0.4801,0.0,76,True
