year_month,inflation_rate
2020-01,5.7
2020-02,6.2
2020-03,5.4
2020-04,5.2
2020-05,4.0
2020-06,3.9
2020-07,4.2
2020-08,4.1
2020-09,4.0
2020-10,4.0
2020-11,4.1
2020-12,4.2
2021-01,3.0
2021-02,3.3
2021-03,4.1
2021-04,3.9
2021-05,4.5
2021-06,5.2
2021-07,5.7
2021-08,6.0
2021-09,5.7
2021-10,7.6
2021-11,9.9
2021-12,12.1
2022-01,14.2
2022-02,15.1
2022-03,18.7
2022-04,29.8
2022-05,39.1
2022-06,54.6
2022-07,60.8
2022-08,64.3
2022-09,69.8
2022-10,66.0
2022-11,61.0
2022-12,57.2
2023-01,51.7
2023-02,50.6
2023-03,50.3
2023-04,35.3
2023-05,25.2
2023-06,12.0
2023-07,6.3
2023-08,4.0
2023-09,1.3
2023-10,1.5
2023-11,3.4
2023-12,4.0
2024-01,6.4
2024-02,5.9
2024-03,0.9
2024-04,1.5
2024-05,0.9
2024-06,1.7
2024-07,2.4
2024-08,0.5
2024-09,-0.5
2024-10,-0.8
2024-11,-2.1
2024-12,-1.7
2025-01,-4.0
2025-02,-4.2
2025-03,-2.6
2025-04,-2.0
2025-05,-0.7
2025-06,-0.6
2025-07,-0.3
2025-08,1.2
2025-09,1.5
2025-10,2.1
2025-11,2.1
2025-12,2.1
2026-01,2.3
2026-02,1.6
2026-03,2.2
2026-04,5.4
2026-05,5.5
2026-06,6.8
2026-07,7.3
2026-08,8.0
