year_month,tourist_arrivals
2018-01,238924
2018-02,235618
2018-03,233382
2018-04,180429
2018-05,129466
2018-06,146828
2018-07,217829
2018-08,200359
2018-09,149087
2018-10,153123
2018-11,195582
2018-12,253169
2019-01,244239
2019-02,252033
2019-03,244328
2019-04,166975
2019-05,37802
2019-06,63072
2019-07,115701
2019-08,143587
2019-09,108575
2019-10,118743
2019-11,176984
2019-12,241663
2020-01,228434
2020-02,207507
2020-03,71370
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,393
2021-01,1682
2021-02,3366
2021-03,4581
2021-04,4168
2021-05,1497
2021-06,1614
2021-07,2429
2021-08,5040
2021-09,13547
2021-10,22771
2021-11,44294
2021-12,89506
2022-01,82327
2022-02,96507
2022-03,106500
2022-04,62980
2022-05,30207
2022-06,32856
2022-07,47293
2022-08,37760
2022-09,29802
2022-10,42026
2022-11,59759
2022-12,91961
2023-01,102545
2023-02,107639
2023-03,125495
2023-04,105498
2023-05,83309
2023-06,100388
2023-07,143039
2023-08,136405
2023-09,111938
2023-10,109199
2023-11,151496
2023-12,210352
2024-01,208253
2024-02,218350
2024-03,209181
2024-04,148867
2024-05,112128
2024-06,113470
2024-07,187810
2024-08,164609
2024-09,122140
2024-10,135907
2024-11,184158
2024-12,248592
2025-01,252761
2025-02,240217
2025-03,229298
2025-04,174608
2025-05,132919
2025-06,138241
2025-07,200244
2025-08,198235
2025-09,158971
2025-10,165193
2025-11,212906
2025-12,258928
2026-01,277327
2026-02,279328
2026-03,183979
2026-04,135643
2026-05,145745
2026-06,124551
2026-07,196845
2026-08,191704
